Agent Name,Agent Address,Agent City,FY 20 Net Sales
STATELINE MART,1124 WASHINGTON ST,ATTLEBORO,"$715,413.50"
BROTHERS LIQUOR & MARKET,193 PINE STREET,ATTLEBORO,"$715,984.00"
CUMBERLAND #0135,1128 OAKHILL AVE,ATTLEBORO,"$754,909.00"
MUTUAL MART,19 PLEASANT STREET,ATTLEBORO,"$762,723.50"
COZY MINI MART,1 NORTH AVE,ATTLEBORO,"$797,920.50"
JOE'S MARKET,245A S MAIN STREET,ATTLEBORO,"$811,547.50"
FLAMINGO MARKET,850 WASHINGTON STREET,ATTLEBORO,"$834,698.00"
RUSTY LANTERN MARKET #0466,466 WASHINGTON STREET,ATTLEBORO,"$897,816.00"
TRIPLE PLAY MOBIL,106 WASHINGTON ST,ATTLEBORO,"$938,533.25"
DODGEVILLE COUNTRY STORE,408 S MAIN ST,ATTLEBORO,"$978,554.75"
SUN MARKET,9 UNION ST,ATTLEBORO,"$1,023,071.50"
CUMBERLAND #0049,290 COUNTY ST,ATTLEBORO,"$1,024,469.50"
MOBIL GAS,1249 NEWPORT AVE,ATTLEBORO,"$1,065,144.50"
CUMBERLAND #0144,80 COUNTY & WALL ST,ATTLEBORO,"$1,073,460.00"
CUMBERLAND #6771,633 WASHINGTON ST,ATTLEBORO,"$1,226,252.50"
BRIGGS CORNER STORE,1503 PARK ST,ATTLEBORO,"$1,634,213.00"
NOURIA #4002,227 SOUTH AVE,ATTLEBORO,"$1,688,641.00"
GAS PLUS,80 PLEASANT ST,ATTLEBORO,"$2,271,784.25"
RICHDALE SUPERETTE,110 N MAIN STREET,ATTLEBORO,"$2,885,772.75"
BORDER BETS & BUTTS,661 WASHINGTON ST,ATTLEBORO,"$4,100,176.75"
DAIRY CAROUSEL,220 S MAIN ST,ATTLEBORO,"$4,437,737.25"
VISTA DONUTS,1096 WASHINGTON STREET,ATTLEBORO,"$7,792,511.75"
SOUTH SIDE VARIETY,173B WESTMINSTER ST,ATTLEBORO,"$8,118,053.50"
ONE STOP,151 AUBURN ST,AUBURN,"$32,446.50"
AUBURN ELKS,754 SOUTHBRIDGE ST,AUBURN,"$127,606.00"
COLONY FARMS,710 SOUTHBRIDGE ST,AUBURN,"$141,813.50"
CHUCK'S STEAK HOUSE,10 PROSPECT ST,AUBURN,"$159,921.00"
HALLIGAN'S ROYAL LOUNGE,889 SOUTHBRIDGE ST,AUBURN,"$197,812.50"
BJ'S WHOLESALE #38,777 WASHINGTON ST,AUBURN,"$216,706.75"
MASS DISCOUNT LIQUORS,844 SOUTHBRIDGE ST,AUBURN,"$254,956.25"
AUBURN PARK N SHOP,711 SOUTHBRIDGE,AUBURN,"$315,306.25"
COLONY LIQUORS & WINE,683 SOUTHBRIDGE ST,AUBURN,"$330,276.00"
FAST LANE,860 SOUTHBRIDGE ST,AUBURN,"$351,373.50"
NOURIA #4003,611 SOUTHBRIDGE ST,AUBURN,"$473,096.75"
BENTLEY PUB,602 SOUTHBRIDGE ST,AUBURN,"$495,060.75"
GALAXY NEWSTAND,385 SOUTHBRIDGE ST,AUBURN,"$525,153.00"
SHAWS 4471,368 SOUTHBRIDGE ST,AUBURN,"$564,320.00"
IMPERIAL PARK N SHOP,711 SOUTHBRIDGE,AUBURN,"$585,351.00"
G & J LIQUORS,87 SOUTHBRIDGE STREET,AUBURN,"$650,471.25"
AUBURN SHELL,712 SOUTHBRIDGE ST,AUBURN,"$665,083.75"
AUBURN BEER WINE & VAPE,567 SOUTHBRIDGE ST UNIT 14,AUBURN,"$814,789.25"
AUBURN PACKAGE STORE,196 AUBURN ST,AUBURN,"$1,070,095.75"
BP GAS,481 WASHINGTON ST,AUBURN,"$1,146,310.25"
TROY'S SPORT BAR,125 OXFORD STREET N,AUBURN,"$1,149,010.75"
ROUTE 20 SHELL,310 WASHINGTON STREET,AUBURN,"$1,250,748.25"
CUMBERLAND #0166,502 WASHINGTON ST,AUBURN,"$1,396,534.00"
V & D VARIETY,143 N OXFORD ST,AUBURN,"$1,485,764.00"
GATEWAY FOOD SHOPS,714 SOUTHBRIDGE ST,AUBURN,"$1,649,726.00"
GREIGE SUMMIT,321 SOUTHBRIDGE STREET,AUBURN,"$3,059,853.75"
